COMMON GENE_ID,CD274 29126
TCGA-FS-A4F2-06,-0.3612
TCGA-FS-A4F9-06,-0.3681
TCGA-FS-A4FC-06,-0.2451
TCGA-GF-A4EO-06,0.2649
TCGA-D3-A51E-06,-0.1289
TCGA-D3-A51F-06,0.0460
TCGA-D3-A51G-06,-0.2837
TCGA-D3-A51H-06,-0.2473
TCGA-D3-A51J-06,-0.1244
TCGA-D3-A51K-06,-0.3693
TCGA-D3-A51N-06,-0.1875
TCGA-D3-A51R-06,-0.3790
TCGA-D3-A51T-06,-0.2797
TCGA-D9-A4Z3-01,-0.3571
TCGA-D9-A4Z5-01,-0.3351
TCGA-D9-A4Z6-06,-0.3093
TCGA-EB-A431-01,-0.2660
TCGA-EB-A44N-01,-0.2952
TCGA-EB-A44O-01,-0.2099
TCGA-EB-A44P-01,-0.0221
TCGA-EB-A44Q-06,-0.1072
TCGA-EB-A44R-06,-0.3416
TCGA-EB-A4IQ-01,-0.3237
TCGA-EB-A4IS-01,-0.1049
TCGA-EB-A4OY-01,-0.3711
TCGA-EB-A4OZ-01,-0.3195
TCGA-EB-A4P0-01,-0.3435
TCGA-FS-A4F4-06,-0.3504
TCGA-FS-A4F5-06,-0.3165
TCGA-FS-A4F8-06,-0.2745
TCGA-FS-A4FB-06,-0.3792
TCGA-FS-A4FD-06,-0.2966
TCGA-BF-A5EO-01,-0.3202
TCGA-BF-A5EP-01,-0.3357
TCGA-BF-A5EQ-01,-0.2605
TCGA-BF-A5ER-01,-0.3318
TCGA-BF-A5ES-01,-0.3108
TCGA-D3-A5GL-06,-0.3121
TCGA-D3-A5GN-06,-0.1727
TCGA-D3-A5GO-06,-0.2997
TCGA-D3-A5GR-06,-0.1614
TCGA-D3-A5GS-06,-0.2638
TCGA-D3-A5GU-06,-0.3262
TCGA-EB-A4XL-01,-0.2986
TCGA-EB-A51B-01,-0.3025
TCGA-EB-A550-01,-0.2323
TCGA-EB-A551-01,0.4904
TCGA-EB-A553-01,-0.3554
TCGA-EB-A5FP-01,-0.3198
TCGA-EB-A5KH-06,-0.3762
TCGA-FW-A5DX-01,-0.3390
TCGA-HR-A5NC-01,-0.3432
TCGA-D3-A5GT-01,-0.3807
TCGA-D9-A6E9-06,0.5446
TCGA-D9-A6EA-06,-0.3266
TCGA-D9-A6EC-06,-0.3147
TCGA-EB-A57M-01,-0.3604
TCGA-EB-A5SE-01,-0.2734
TCGA-EB-A5SF-01,-0.3630
TCGA-EB-A5SG-06,0.1660
TCGA-EB-A5SH-06,-0.3637
TCGA-EB-A5UL-06,-0.2814
TCGA-EB-A5UM-01,-0.3214
TCGA-EB-A5UN-06,-0.0199
TCGA-FR-A69P-06,-0.3530
TCGA-FW-A5DY-06,-0.2423
TCGA-GF-A6C8-06,-0.2394
TCGA-GF-A6C9-06,-0.2994
TCGA-QB-A6FS-06,-0.3323
TCGA-RP-A690-06,-0.3319
TCGA-RP-A693-06,-0.2401
TCGA-RP-A694-06,-0.3418
TCGA-RP-A695-06,-0.1486
TCGA-D9-A6EG-06,-0.3667
TCGA-EB-A5VU-01,-0.3562
TCGA-EB-A5VV-06,-0.1131
TCGA-EB-A6L9-06,-0.2180
TCGA-EB-A6QY-01,-0.3268
TCGA-EB-A6QZ-01,-0.3583
TCGA-EB-A6R0-01,0.6768
TCGA-FR-A726-01,-0.3493
TCGA-FR-A728-01,-0.1749
TCGA-GF-A769-01,-0.2533
TCGA-GN-A4U3-06,-0.2860
TCGA-GN-A4U4-06,-0.3291
TCGA-GN-A4U5-01,0.3256
TCGA-GN-A4U7-06,-0.3158
TCGA-GN-A4U8-06,-0.1320
TCGA-GN-A4U9-06,-0.3393
TCGA-OD-A75X-06,-0.2207
TCGA-EB-A82B-01,-0.1979
TCGA-EB-A82C-01,-0.3645
TCGA-EB-A85I-01,-0.2321
TCGA-EB-A85J-01,-0.1328
TCGA-FR-A729-06,-0.1338
TCGA-FR-A7U8-06,-0.3662
TCGA-FR-A7U9-06,0.0215
TCGA-FR-A7UA-06,1.0366
TCGA-RP-A6K9-06,-0.1425
TCGA-W3-A824-06,0.0514
TCGA-W3-A825-06,-0.3090
TCGA-W3-A828-06,-0.3204
TCGA-BF-A9VF-01,-0.3096
TCGA-D3-A2JE-06,-0.3782
TCGA-D3-A8GB-06,-0.2779
TCGA-D3-A8GC-06,-0.1681
TCGA-D3-A8GD-06,-0.0159
TCGA-D3-A8GE-06,-0.2926
TCGA-D3-A8GI-06,-0.3644
TCGA-D3-A8GJ-06,0.2240
TCGA-D3-A8GK-06,-0.3695
TCGA-D3-A8GL-06,-0.3431
TCGA-D3-A8GM-06,-0.0643
TCGA-D3-A8GN-06,-0.1023
TCGA-D3-A8GO-06,-0.3259
TCGA-D3-A8GP-06,-0.3628
TCGA-D3-A8GQ-06,-0.3516
TCGA-D3-A8GR-06,-0.3083
TCGA-D3-A8GS-06,-0.2295
TCGA-D3-A8GV-06,-0.3216
TCGA-DA-A95V-06,0.2221
TCGA-DA-A95W-06,-0.2560
TCGA-DA-A95X-06,-0.0834
TCGA-DA-A95Y-06,-0.3478
TCGA-DA-A95Z-06,-0.3172
TCGA-DA-A960-01,-0.3200
TCGA-FR-A8YC-06,-0.3447
TCGA-FR-A8YD-06,-0.3310
TCGA-FR-A8YE-06,-0.1624
TCGA-GN-A8LK-06,-0.3631
TCGA-GN-A8LL-06,-0.3666
TCGA-GN-A8LN-01,-0.3120
TCGA-WE-A8JZ-06,-0.3205
TCGA-WE-A8K1-06,-0.1684
TCGA-WE-A8K4-01,-0.0259
TCGA-WE-A8K5-06,-0.3110
TCGA-WE-A8K6-06,-0.3663
TCGA-WE-A8ZM-06,-0.3667
TCGA-WE-A8ZN-06,-0.2990
TCGA-WE-A8ZO-06,-0.1637
TCGA-WE-A8ZQ-06,-0.3662
TCGA-WE-A8ZR-06,-0.3079
TCGA-WE-A8ZT-06,-0.1237
TCGA-WE-A8ZX-06,-0.2827
TCGA-WE-A8ZY-06,-0.2357
TCGA-YD-A89C-06,-0.3792
TCGA-Z2-A8RT-06,-0.1350
TCGA-3N-A9WB-06,-0.3423
TCGA-3N-A9WC-06,0.7331
TCGA-3N-A9WD-06,-0.2560
TCGA-EB-A97M-01,-0.2368
TCGA-LH-A9QB-06,-0.2855
TCGA-W3-AA1O-06,-0.3207
TCGA-W3-AA1Q-06,-0.0338
TCGA-W3-AA1W-06,0.4632
TCGA-W3-AA21-06,-0.3712
TCGA-WE-AA9Y-06,-0.3576
TCGA-WE-AAA0-06,-0.3261
TCGA-WE-AAA3-06,-0.1226
TCGA-WE-AAA4-06,0.0526
TCGA-XV-A9VZ-01,-0.3678
TCGA-XV-A9W5-01,-0.3435
TCGA-YG-AA3N-01,-0.2431
TCGA-YG-AA3O-06,-0.3312
TCGA-YG-AA3P-06,-0.3749
TCGA-BF-AAOU-01,-0.2542
TCGA-BF-AAOX-01,-0.3367
TCGA-BF-AAP0-06,-0.1021
TCGA-BF-AAP1-01,-0.3760
TCGA-QB-AA9O-06,-0.2583
TCGA-W3-AA1R-06,-0.2672
TCGA-XV-A9W2-01,-0.2973
TCGA-YD-A9TA-06,-0.2337
TCGA-Z2-AA3S-06,-0.3354
TCGA-Z2-AA3V-06,-0.2441
TCGA-BF-AAP2-01,-0.2962
TCGA-BF-AAP4-01,-0.1736
TCGA-BF-AAP6-01,-0.3423
TCGA-BF-AAP7-01,-0.2880
TCGA-BF-AAP8-01,-0.2828
TCGA-GN-A9SD-06,-0.3464
TCGA-W3-AA1V-06,1.5053
TCGA-XV-AAZV-01,-0.3096
TCGA-XV-AAZW-01,-0.3510
TCGA-XV-AAZY-01,-0.3536
TCGA-XV-AB01-06,-0.3605
TCGA-YD-A9TB-06,-0.3437
